Epoch:  1, train_Precision: 0.53333333, train_Loss: 5.30014899
Epoch:  2, train_Precision: 2.26666667, train_Loss: 5.27242113
Epoch:  3, train_Precision: 8.33333333, train_Loss: 5.23307730
Epoch:  4, train_Precision: 14.76666667, train_Loss: 5.17812186
Epoch:  5, train_Precision: 20.76666667, train_Loss: 5.10857536
Epoch:  6, train_Precision: 25.13333333, train_Loss: 5.04003394
Epoch:  7, train_Precision: 30.76666667, train_Loss: 4.96723553
Epoch:  8, train_Precision: 34.80000000, train_Loss: 4.89546209
Epoch:  9, train_Precision: 42.33333333, train_Loss: 4.82140248
Epoch: 10, train_Precision: 44.70000000, train_Loss: 4.74856048
Epoch: 11, train_Precision: 48.73333333, train_Loss: 4.67230465
Epoch: 12, train_Precision: 51.90000000, train_Loss: 4.59483420
Epoch: 13, train_Precision: 53.60000000, train_Loss: 4.53484284
Epoch: 14, train_Precision: 55.36666667, train_Loss: 4.45786563
Epoch: 15, train_Precision: 58.23333333, train_Loss: 4.38411603
Epoch: 16, train_Precision: 59.36666667, train_Loss: 4.30496906
Epoch: 17, train_Precision: 44.70000000, train_Loss: 4.43632693
Epoch: 18, train_Precision: 35.73333333, train_Loss: 4.44237660
Epoch: 19, train_Precision: 45.06666667, train_Loss: 4.28576827
Epoch: 20, train_Precision: 50.33333333, train_Loss: 4.16397914
Epoch: 21, train_Precision: 53.30000000, train_Loss: 4.06110638
Epoch: 22, train_Precision: 56.63333333, train_Loss: 3.97674915
Epoch: 23, train_Precision: 59.60000000, train_Loss: 3.88865874
Epoch: 24, train_Precision: 63.60000000, train_Loss: 3.80074949
Epoch: 25, train_Precision: 62.13333333, train_Loss: 3.75378355
Epoch: 26, train_Precision: 51.66666667, train_Loss: 3.85538633
Epoch: 27, train_Precision: 45.76666667, train_Loss: 3.85127277
Epoch: 28, train_Precision: 46.16666667, train_Loss: 3.77094498
Epoch: 29, train_Precision: 47.86666667, train_Loss: 3.71386827
Epoch: 30, train_Precision: 51.33333333, train_Loss: 3.57450880
Epoch: 31, train_Precision: 50.63333333, train_Loss: 3.51436647
Epoch: 32, train_Precision: 51.30000000, train_Loss: 3.47852612
Epoch: 33, train_Precision: 52.20000000, train_Loss: 3.43368289
Epoch: 34, train_Precision: 52.43333333, train_Loss: 3.40835794
Epoch: 35, train_Precision: 50.60000000, train_Loss: 3.35227384
Epoch: 36, train_Precision: 54.43333333, train_Loss: 3.22360723
Epoch: 37, train_Precision: 55.63333333, train_Loss: 3.17012226
Epoch: 38, train_Precision: 59.80000000, train_Loss: 3.02729191
Epoch: 39, train_Precision: 58.13333333, train_Loss: 3.03805208
Epoch: 40, train_Precision: 57.90000000, train_Loss: 3.00435691
Epoch: 41, train_Precision: 61.13333333, train_Loss: 2.88429695
Epoch: 42, train_Precision: 63.43333333, train_Loss: 2.79776939
Epoch: 43, train_Precision: 58.23333333, train_Loss: 2.87816619
Epoch: 44, train_Precision: 53.73333333, train_Loss: 2.96603132
Epoch: 45, train_Precision: 58.40000000, train_Loss: 2.79100425
Epoch: 46, train_Precision: 62.26666667, train_Loss: 2.63594771
Epoch: 47, train_Precision: 61.90000000, train_Loss: 2.61978492
Epoch: 48, train_Precision: 64.03333333, train_Loss: 2.52136746
Epoch: 49, train_Precision: 67.06666667, train_Loss: 2.46420724
Epoch: 50, train_Precision: 66.13333333, train_Loss: 2.40779308
Epoch: 51, train_Precision: 0.43333333, train_Loss: 5.30033343
Epoch: 52, train_Precision: 1.93333333, train_Loss: 5.27290313
Epoch: 53, train_Precision: 9.93333333, train_Loss: 5.23328070
Epoch: 54, train_Precision: 15.46666667, train_Loss: 5.17829710
Epoch: 55, train_Precision: 19.83333333, train_Loss: 5.11268430
Epoch: 56, train_Precision: 24.73333333, train_Loss: 5.04189425
Epoch: 57, train_Precision: 31.73333333, train_Loss: 4.97103730
Epoch: 58, train_Precision: 34.66666667, train_Loss: 4.90558873
Epoch: 59, train_Precision: 41.10000000, train_Loss: 4.82842213
Epoch: 60, train_Precision: 45.53333333, train_Loss: 4.75815732
Epoch: 61, train_Precision: 48.30000000, train_Loss: 4.68133654
Epoch: 62, train_Precision: 52.56666667, train_Loss: 4.60271385
Epoch: 63, train_Precision: 56.63333333, train_Loss: 4.52304702
Epoch: 64, train_Precision: 57.73333333, train_Loss: 4.45074393
Epoch: 65, train_Precision: 61.93333333, train_Loss: 4.38099350
Epoch: 66, train_Precision: 63.00000000, train_Loss: 4.29788856
Epoch: 67, train_Precision: 64.86666667, train_Loss: 4.23274462
Epoch: 68, train_Precision: 63.16666667, train_Loss: 4.19336597
Epoch: 69, train_Precision: 53.03333333, train_Loss: 4.22728079
Epoch: 70, train_Precision: 50.36666667, train_Loss: 4.16835294
Epoch: 71, train_Precision: 56.73333333, train_Loss: 4.04795518
Epoch: 72, train_Precision: 61.86666667, train_Loss: 3.94121418
Epoch: 73, train_Precision: 67.03333333, train_Loss: 3.84586575
Epoch: 74, train_Precision: 61.30000000, train_Loss: 3.83833267
Epoch: 75, train_Precision: 53.43333333, train_Loss: 3.90213574
Epoch: 76, train_Precision: 32.73333333, train_Loss: 4.19612756
Epoch: 77, train_Precision: 43.16666667, train_Loss: 3.95673561
Epoch: 78, train_Precision: 45.36666667, train_Loss: 3.86170538
Epoch: 79, train_Precision: 48.96666667, train_Loss: 3.72580280
Epoch: 80, train_Precision: 49.86666667, train_Loss: 3.63871836
Epoch: 81, train_Precision: 53.96666667, train_Loss: 3.50855147
Epoch: 82, train_Precision: 54.16666667, train_Loss: 3.45087981
Epoch: 83, train_Precision: 54.70000000, train_Loss: 3.39332090
Epoch: 84, train_Precision: 55.40000000, train_Loss: 3.31880597
Epoch: 85, train_Precision: 59.36666667, train_Loss: 3.18761757
Epoch: 86, train_Precision: 58.16666667, train_Loss: 3.17681562
Epoch: 87, train_Precision: 54.00000000, train_Loss: 3.21983329
Epoch: 88, train_Precision: 56.93333333, train_Loss: 3.09449654
Epoch: 89, train_Precision: 55.56666667, train_Loss: 3.10531271
Epoch: 90, train_Precision: 58.70000000, train_Loss: 2.98519438
Epoch: 91, train_Precision: 60.16666667, train_Loss: 2.91080236
Epoch: 92, train_Precision: 64.40000000, train_Loss: 2.77327705
Epoch: 93, train_Precision: 63.80000000, train_Loss: 2.72738030
Epoch: 94, train_Precision: 67.86666667, train_Loss: 2.59163954
Epoch: 95, train_Precision: 71.16666667, train_Loss: 2.51365196
Epoch: 96, train_Precision: 69.26666667, train_Loss: 2.52351703
Epoch: 97, train_Precision: 65.76666667, train_Loss: 2.54433544
Epoch: 98, train_Precision: 63.70000000, train_Loss: 2.54388440
Epoch: 99, train_Precision: 65.90000000, train_Loss: 2.44057108
Epoch: 100, train_Precision: 68.40000000, train_Loss: 2.33880764
