Epoch:  1, train_Precision: 1.56666667, train_Loss: 5.29346418
Epoch:  2, train_Precision: 11.10000000, train_Loss: 5.25201011
Epoch:  3, train_Precision: 20.46666667, train_Loss: 5.19596970
Epoch:  4, train_Precision: 27.86666667, train_Loss: 5.13144746
Epoch:  5, train_Precision: 29.73333333, train_Loss: 5.06062008
Epoch:  6, train_Precision: 32.80000000, train_Loss: 4.98559530
Epoch:  7, train_Precision: 34.20000000, train_Loss: 4.90591108
Epoch:  8, train_Precision: 40.20000000, train_Loss: 4.82122096
Epoch:  9, train_Precision: 44.46666667, train_Loss: 4.73417312
Epoch: 10, train_Precision: 44.30000000, train_Loss: 4.64509534
Epoch: 11, train_Precision: 51.30000000, train_Loss: 4.55595885
Epoch: 12, train_Precision: 52.63333333, train_Loss: 4.46614045
Epoch: 13, train_Precision: 58.60000000, train_Loss: 4.37722023
Epoch: 14, train_Precision: 61.80000000, train_Loss: 4.28325948
Epoch: 15, train_Precision: 63.56666667, train_Loss: 4.19454333
Epoch: 16, train_Precision: 67.06666667, train_Loss: 4.10629265
Epoch: 17, train_Precision: 68.53333333, train_Loss: 4.01890683
Epoch: 18, train_Precision: 72.86666667, train_Loss: 3.93051468
Epoch: 19, train_Precision: 76.46666667, train_Loss: 3.84886979
Epoch: 20, train_Precision: 77.66666667, train_Loss: 3.76904497
Epoch: 21, train_Precision: 78.26666667, train_Loss: 3.68795007
Epoch: 22, train_Precision: 81.23333333, train_Loss: 3.60618113
Epoch: 23, train_Precision: 83.60000000, train_Loss: 3.52263851
Epoch: 24, train_Precision: 86.03333333, train_Loss: 3.43802214
Epoch: 25, train_Precision: 86.80000000, train_Loss: 3.36270891
Epoch: 26, train_Precision: 87.40000000, train_Loss: 3.29137702
Epoch: 27, train_Precision: 88.43333333, train_Loss: 3.21007371
Epoch: 28, train_Precision: 88.06666667, train_Loss: 3.13140705
Epoch: 29, train_Precision: 90.43333333, train_Loss: 3.05435077
Epoch: 30, train_Precision: 91.83333333, train_Loss: 2.98025800
Epoch: 31, train_Precision: 92.46666667, train_Loss: 2.90524086
Epoch: 32, train_Precision: 92.50000000, train_Loss: 2.83392834
Epoch: 33, train_Precision: 92.80000000, train_Loss: 2.76595919
Epoch: 34, train_Precision: 93.46666667, train_Loss: 2.69583700
Epoch: 35, train_Precision: 94.50000000, train_Loss: 2.62692295
Epoch: 36, train_Precision: 94.80000000, train_Loss: 2.55840518
Epoch: 37, train_Precision: 95.10000000, train_Loss: 2.50184604
Epoch: 38, train_Precision: 95.10000000, train_Loss: 2.43929720
Epoch: 39, train_Precision: 95.50000000, train_Loss: 2.37190620
Epoch: 40, train_Precision: 97.16666667, train_Loss: 2.30741991
Epoch: 41, train_Precision: 95.96666667, train_Loss: 2.24601651
Epoch: 42, train_Precision: 97.00000000, train_Loss: 2.18569760
Epoch: 43, train_Precision: 97.13333333, train_Loss: 2.12353951
Epoch: 44, train_Precision: 97.60000000, train_Loss: 2.06595183
Epoch: 45, train_Precision: 97.60000000, train_Loss: 2.01008618
Epoch: 46, train_Precision: 98.13333333, train_Loss: 1.95336191
Epoch: 47, train_Precision: 98.43333333, train_Loss: 1.90077263
Epoch: 48, train_Precision: 98.76666667, train_Loss: 1.85192888
Epoch: 49, train_Precision: 98.83333333, train_Loss: 1.80181454
Epoch: 50, train_Precision: 98.46666667, train_Loss: 1.74864889
